time,BH1x,BH1y,BH1z,L1x,L1y,L1z,BH2x,BH2y,BH2z,L2x,L2y,L2z
0.0,4.988305662547382,0.0,1,0,-1,1,-4.988305662547382,-0.0,1,0,1.5,0,
2.0,4.980319711574069,0.27844310010214346,1,0,-1,1,-4.980319711574069,-0.27844310010214346,1,0,1.5,0,
4.0,4.956800740753966,0.5559942870746636,1,0,-1,1,-4.956800740753966,-0.5559942870746636,1,0,1.5,0,
6.0,4.917823408976576,0.8317875687643239,1,0,-1,1,-4.917823408976576,-0.8317875687643239,1,0,1.5,0,
8.0,4.863510626597721,1.1049625041759532,1,0,-1,1,-4.863510626597721,-1.1049625041759532,1,0,1.5,0,
10.0,4.7940331687640345,1.3746668903177635,1,0,-1,1,-4.7940331687640345,-1.3746668903177635,1,0,1.5,0,
12.0,4.709609139215653,1.6400594232083066,1,0,-1,1,-4.709609139215653,-1.6400594232083066,1,0,1.5,0,
14.0,4.610503286244449,1.900312324729602,1,0,-1,1,-4.610503286244449,-1.900312324729602,1,0,1.5,0,
16.0,4.497026172947334,2.1546139271175475,1,0,-1,1,-4.497026172947334,-2.1546139271175475,1,0,1.5,0,
18.0,4.369533204369609,2.4021712070129744,1,0,-1,1,-4.369533204369609,-2.4021712070129744,1,0,1.5,0,
20.0,4.228423514580747,2.642212261154232,1,0,-1,1,-4.228423514580747,-2.642212261154232,1,0,1.5,0,
22.0,4.074138717162903,2.873988715974442,1,0,-1,1,-4.074138717162903,-2.873988715974442,1,0,1.5,0,
24.0,3.907161523019494,3.096778063573048,1,0,-1,1,-3.907161523019494,-3.096778063573048,1,0,1.5,0,
26.0,3.728014229826068,3.3098859167613024,1,0,-1,1,-3.728014229826068,-3.3098859167613024,1,0,1.5,0,
28.0,3.537257087847035,3.5126481761342134,1,0,-1,1,-3.537257087847035,-3.5126481761342134,1,0,1.5,0,
30.0,3.3354865472284776,3.7044331023963606,1,0,-1,1,-3.3354865472284776,-3.7044331023963606,1,0,1.5,0,
32.0,3.1233333922479214,3.8846432874651216,1,0,-1,1,-3.1233333922479214,-3.8846432874651216,1,0,1.5,0,
34.0,2.9014607683554936,4.052717518191209,1,0,-1,1,-2.9014607683554936,-4.052717518191209,1,0,1.5,0,
36.0,2.6705621081762447,4.208132526872087,1,0,-1,1,-2.6705621081762447,-4.208132526872087,1,0,1.5,0,
38.0,2.4313589629594548,4.35040462308771,1,0,-1,1,-2.4313589629594548,-4.35040462308771,1,0,1.5,0,
40.0,2.1845987462565155,4.479091201759047,1,0,-1,1,-2.1845987462565155,-4.479091201759047,1,0,1.5,0,
42.0,1.931052396883643,4.593792122716882,1,0,-1,1,-1.931052396883643,-4.593792122716882,1,0,1.5,0,
44.0,1.6715119684781379,4.69415095747006,1,0,-1,1,-1.6715119684781379,-4.69415095747006,1,0,1.5,0,
46.0,1.4067881531866688,4.779856099277685,1,0,-1,1,-1.4067881531866688,-4.779856099277685,1,0,1.5,0,
48.0,1.137707747230193,4.850641733057181,1,0,-1,1,-1.137707747230193,-4.850641733057181,1,0,1.5,0,
50.0,0.8651110662720062,4.906288662098518,1,0,-1,1,-0.8651110662720062,-4.906288662098518,1,0,1.5,0,
52.0,0.5898493186725914,4.946624989002726,1,0,-1,1,-0.5898493186725914,-4.946624989002726,1,0,1.5,0,
54.0,0.3127819448467926,4.971526648718755,1,0,-1,1,-0.3127819448467926,-4.971526648718755,1,0,1.5,0,
56.0,0.03477393104497821,4.98091779201543,1,0,-1,1,-0.03477393104497821,-4.98091779201543,1,0,1.5,0,
58.0,-0.24330689403998432,4.974771018193033,1,0,-1,1,0.24330689403998432,-4.974771018193033,1,0,1.5,0,
60.0,-0.5205925713842605,4.953107456310738,1,0,-1,1,0.5205925713842605,-4.953107456310738,1,0,1.5,0,
62.0,-0.7962177239800405,4.91599669468,1,0,-1,1,0.7962177239800405,-4.91599669468,1,0,1.5,0,
64.0,-1.0693222609340614,4.863556558848801,1,0,-1,1,1.0693222609340614,-4.863556558848801,1,0,1.5,0,
66.0,-1.3390540648594174,4.795952738775626,1,0,-1,1,1.3390540648594174,-4.795952738775626,1,0,1.5,0,
68.0,-1.6045716541546196,4.71339826636403,1,0,-1,1,1.6045716541546196,-4.71339826636403,1,0,1.5,0,
70.0,-1.8650468118423091,4.616152844996875,1,0,-1,1,1.8650468118423091,-4.616152844996875,1,0,1.5,0,
72.0,-2.1196671727445695,4.5045220331725035,1,0,-1,1,2.1196671727445695,-4.5045220331725035,1,0,1.5,0,
74.0,-2.367638760902114,4.378856284801733,1,0,-1,1,2.367638760902114,-4.378856284801733,1,0,1.5,0,
76.0,-2.608188469300208,4.239549849173169,1,0,-1,1,2.608188469300208,-4.239549849173169,1,0,1.5,0,
